Abraham,Accountability,Adoption,Agency,AllScriptureCount,America,Angel,Art,Articles of Faith,Atonement,Attitude,Authority,AuthorityMentions,BYU,Balance,Baptism,Bible,Blessing,BoM,Body,Book of Mormon,Brigham Young,Brotherhood,Calling,Character,Charity,Chastity,Children,Christianity,Christmas,Church,Citizenship,Comforter,Commandments,Commitment,Communication,Compassion,Conscience,Consecration,Contention,Conversion,Courage,Covenant,Creation,Creativity,D&C,Date,Decision,Dedication,Disciple,Discipline,Discourage,Divine,Doctrine,Doctrine and Covenants,Education,Esteem,Eternal Life,Eternity,Exaltation,Example,Excellent,Failure,Faith,Family,Family History,Fear,Fellowship,Finance,FirstPersonPronoun,FleschReading,Foreordination,Forgiveness,Freedom,Friendship,Gender,Gift,Giving,God,Gospel,Government,Gratitude,Growth,Habit,Happiness,Heal,Heavenly Father,Heritage,History,Holy Ghost,Home,Honesty,Honor,Hope,Humility,I am a woman,Improvement,Individual Worth,Initiative,Inspiration,Integrity,Jesus Christ,Joseph Smith,Joy,Kind,Knowledge,Language,Last Day,Law,Leadership,Learning,Life,Light,Light of Christ,Listen,Lonely,Love,Marriage,Media,Meekness,Membership,Men,Mercy,Miracle,Missionary,Mistake,Modesty,Morality,Mortality,Music,NT,Natural Man,OT,Obedience,Opportunity,Ordinance,Organization,Pageviews,Parent,Patience,Patriarchal Blessing,Patriotism,Peer Pressure,PercentInItalics,PercentInQuotes,Perfection,Perspective,Pioneer,Plan of Salvation,PoGP,Polarity,Politic,Potential,Power,Prayer,Premortal,Preparation,Prepare,Priesthood,Priority,Progression,Prophet,Question,Relationship,Religion,Religious Freedom,Remember,Repent,Responsibility,Restoration,Resurrection,Revelation,Reverence,Righteous,Sabbath,Sacrament,Sacred,Sacrifice,Safety,Salvation,Satan,Scripture,Second Coming,Self-Reliance,Selfless,Service,Socialism,Speech,Spirit,Spiritual Growth,Spirituality,Standard,Stewardship,StoryNames,Subjectivity,Success,Suffering,Talent,Talking Speed,Teaching,Technology,Temple,Tempt,Testimony,Thought,Time,Tithing,Tolerance,Trial,Trust,Truth,Understand,Unity,Value,Virtue,War,WeToYouRatio,Wisdom,Witness,Woman,WordCount,WordQuantity,Work,Worldly,Worship,Worthy,Zion
1,3,1,3,23,0,0,2,0,0,0,0,3,2,0,0,1,1,3,1,0,3,0,0,0,1,1,8,0,0,4,0,0,8,0,0,1,1,0,0,0,0,2,0,0,6,1,1,1,0,0,0,0,2,2,4,0,2,1,2,1,0,1,8,4,0,3,0,0,15,5.61,0,0,0,18,Male,10,6,17,1,1,0,2,0,3,0,0,0,1,2,3,2,0,2,0,0,1,0,0,0,0,3,2,2,2,12,0,0,6,0,23,30,1,0,2,4,6,0,0,0,0,12,0,0,1,1,1,0,0,0,0,0,14,1,2,1,0,5,1,0,0,0,0,0.189132463,0.030317164,3,2,0,0,0,0.15,0,0,0,2,0,2,6,1,0,4,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,7,0,/talks/-d-hales_understandings-heart/,9,1,1,0,2,6,0.52,0,2,12,2.771816419,2,0,0,1,3,2,8,0,0,10,2,0,21,0,2,0,0,13.349,22,0,1,4288,1328,4,1,0,1,0
0,0,0,0,19,0,1,0,0,6,0,0,6,3,0,0,0,2,8,1,1,1,0,1,2,0,0,9,5,0,4,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,4,2,0,1,0,0,67,3.66,0,1,0,5,Male,4,4,14,1,0,0,1,2,1,0,1,0,0,2,3,0,1,3,0,0,1,0,0,0,0,7,0,2,2,0,0,0,0,1,6,14,2,0,0,0,5,1,0,0,0,6,1,3,5,2,0,0,0,2,8,0,0,1,1,0,0,21,1,1,0,0,0,0.032177531,0.270180305,7,1,2,0,0,0.14,0,0,6,0,0,0,0,0,0,1,1,2,0,0,0,0,6,0,0,2,0,1,0,0,0,0,0,0,0,0,21,0,0,0,1,0,/talks/Brad-wilcox_his-grace-is-sufficient/,0,0,0,0,0,8,0.51,0,4,0,1.867875648,1,0,1,0,1,2,9,1,0,1,0,1,12,0,1,0,0,143.115,0,2,3,3605,1055,2,0,0,4,0
0,0,0,0,7,0,4,0,0,7,0,0,3,0,0,5,0,0,2,10,0,1,0,0,1,0,0,2,1,0,12,0,0,4,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,4,13,0,0,0,14,7,6,0,0,0,9,2,0,1,0,0,35,6.77,1,0,0,0,Male,2,4,36,7,0,0,0,1,2,0,0,0,0,6,2,2,1,2,0,0,0,0,0,2,0,4,4,4,4,16,0,0,6,0,8,58,3,0,1,0,2,7,0,0,0,39,2,0,0,0,0,0,0,0,1,0,0,9,3,2,0,5,0,0,0,0,0,0.054706927,0.034635879,10,1,0,4,0,0.19,0,0,18,1,0,0,3,0,0,10,3,4,2,7,0,0,1,0,0,7,12,0,2,0,0,0,2,0,21,0,6,0,0,0,1,0,/talks/Bruce-r-mcconkie_seven-deadly-heresies/,23,0,0,1,0,7,0.49,0,0,0,2.587316176,3,0,6,0,1,0,9,0,0,0,0,39,4,1,0,0,0,529,4,3,0,5630,1219,10,0,3,1,0
0,0,0,0,3,0,0,0,0,0,0,0,2,7,0,0,0,5,0,1,1,1,0,0,0,0,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,19,3,0,2,0,0,131,6,0,0,0,1,Male,0,0,3,4,0,0,0,4,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,4,0,0,0,4,1,0,11,0,4,7,5,0,0,0,7,0,2,0,0,3,0,0,0,0,0,0,0,1,1,0,0,3,2,0,0,11,0,0,0,0,0,0.056952439,0.08906392,1,0,0,0,0,0.11,0,2,3,0,0,0,0,0,0,2,0,1,1,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,/talks/Craig-l-manning_power-words/,2,0,0,0,0,2,0.48,2,0,0,2.694693878,0,0,0,0,0,15,21,0,0,0,0,0,3,0,0,0,0,23.529,0,0,2,3301,1024,10,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0,2,7,0,0,0,5,0,1,1,1,0,0,0,0,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,19,3,0,2,0,0,131,6,0,0,0,1,Male,0,0,3,4,0,0,0,4,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,4,0,0,0,4,1,0,11,0,4,7,5,0,0,0,7,0,2,0,0,3,0,0,0,0,0,0,0,1,1,0,0,3,2,0,0,8,0,0,0,0,0,0.056952439,0.08906392,1,0,0,0,0,0.11,0,2,3,0,0,0,0,0,0,2,0,1,1,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,/talks/Craig-manning_power-words/,2,0,0,0,0,2,0.48,2,0,0,2.694693878,0,0,0,0,0,15,21,0,0,0,0,0,3,0,0,0,0,23.529,0,0,2,3301,1024,10,0,0,0,0
0,0,0,0,8,0,0,0,0,38,0,0,9,2,0,0,1,8,7,2,3,2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,0,0,1,0,1,9,0,0,8,1,0,1,0,0,85,7.56,0,0,0,0,Male,0,3,3,6,0,0,0,0,0,0,1,0,0,2,3,0,0,2,0,0,0,0,0,1,0,9,0,2,1,0,0,0,0,1,8,14,2,0,1,0,3,2,0,2,0,17,4,0,4,1,0,0,3,0,1,9,0,0,0,0,0,10,0,5,0,0,0,0.016743407,0.225826706,1,2,1,0,0,0.19,0,0,42,7,0,2,2,1,1,2,2,1,0,0,0,4,1,1,0,0,0,0,1,0,1,2,3,1,0,0,6,0,0,0,4,0,/talks/David-a-bednar_strength-lord/,2,0,0,0,0,8,0.57,0,6,0,2.818879056,4,0,0,2,1,0,3,0,0,1,1,0,13,0,0,0,0,192.045,1,1,9,4778,1233,2,0,0,1,1
0,1,0,0,15,0,1,0,0,8,0,0,0,0,0,0,0,5,2,0,1,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,1,0,0,3,1,0,0,0,2,0,0,0,0,0,1,3,0,1,0,0,98,4.04,0,10,0,6,Female,10,3,9,1,0,6,0,0,5,2,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,83,1,0,0,0,0,0,3,61,2,0,0,1,2,1,0,0,0,3,0,0,2,0,0,0,0,3,4,0,7,1,0,0,0,29,0,3,0,0,0,0.030567686,0.106550218,1,0,0,1,2,0.29,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,3,0,0,2,0,0,2,0,0,1,0,0,5,0,0,0,0,0,6,0,/talks/Elaine-a-marshall_life-shall-joy/,1,0,0,0,0,15,0.46,0,3,0,0.3435,0,0,0,0,2,3,16,0,0,1,0,5,2,0,0,0,0,71.273,1,0,3,3435,1044,2,0,0,0,0
0,0,0,0,9,0,0,0,0,0,0,0,11,5,0,1,0,4,0,1,0,1,0,1,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,35,9,0,15,0,0,143,5.22,0,0,0,5,Female,3,2,48,0,0,0,0,0,1,1,0,0,0,0,3,0,0,20,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,3,23,0,0,2,0,10,1,0,2,0,3,0,0,1,0,0,0,0,0,2,0,6,0,1,0,0,56,1,1,0,0,0,0.166910688,0.082200376,1,0,0,0,0,0.16,0,0,1,5,0,0,0,0,0,0,2,10,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,/talks/Erin-kramer-holmes_waiting-upon-lord-antidote-uncertainty/,1,0,0,0,0,11,0.5,0,1,0,2.382162431,2,0,1,0,0,3,12,0,0,1,4,3,12,0,0,0,0,108.507,1,2,10,4781,1237,11,0,0,0,0
0,0,0,0,17,1,0,0,0,0,0,0,2,0,0,0,0,3,6,0,1,1,0,1,0,0,19,1,1,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,13,5.22,0,4,0,1,Male,0,1,1,1,0,0,0,0,7,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,7,1,0,0,0,12,3,0,10,0,0,1,0,2,0,0,0,0,6,0,1,0,0,0,1,0,0,2,0,3,2,0,0,0,5,0,0,0,0,0,0.012786762,0.086874765,0,0,0,0,0,0.16,0,0,11,3,0,1,6,3,0,0,3,1,1,0,0,2,10,0,0,0,1,0,4,0,0,0,0,0,0,5,4,0,0,0,4,0,/talks/Ezra-Taft-benson_law-chastity/,0,0,0,4,0,6,0.47,1,0,0,1.472314507,0,0,0,7,0,4,4,0,0,0,1,0,2,0,0,4,0,33.333,0,0,6,2659,917,1,0,0,1,0
0,0,0,0,8,0,1,0,0,5,1,0,7,1,1,0,0,3,2,1,0,1,0,0,1,0,0,22,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,2,0,1,0,0,0,0,1,0,1,3,11,0,2,0,0,136,6,0,74,1,1,Male,5,7,11,0,0,1,1,0,2,5,6,0,0,1,5,0,1,2,0,0,1,0,0,1,0,1,2,0,1,0,0,0,2,3,4,14,2,0,2,0,8,5,0,0,0,12,7,0,0,5,0,0,0,0,4,0,0,0,0,0,0,5,10,1,0,0,0,0.206802721,0.045408163,1,1,0,0,0,0.07,0,0,1,10,0,0,0,1,0,4,7,1,14,1,1,3,7,3,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,/talks/James-m-harper_seventy-times-seven/,4,0,0,1,0,8,0.53,0,2,1,0.588,3,0,2,1,1,9,26,0,1,0,1,0,3,0,2,0,0,40.612,1,1,3,5880,1566,5,0,0,1,0
