Abrahamic,Accountability,Adoption,Agency,AllScriptureCount,America,Angel,Art,Articles of Faith,Atonement,Attitude,Authority,AuthorityMentions,BYU,Balance,Baptism,Bible,Blessing,BoM,Body,Book of Mormon,Brigham Young,Brotherhood,Calling,Character,Charity,Chastity,Children,Christianity,Christmas,Church,Citizenship,Comforter,Commandments,Commitment,Communication,Compassion,Conscience,Consecration,Contention,Conversion,Courage,Covenant,Creation,Creativity,D&C,Date,DaysElapsed,Decision,Dedication,Disciple,Discipline,Discourage,Divine,Doctrine,Doctrine and Covenants,Education,Esteem,Eternal Life,Eternity,Exaltation,Example,Excellent,Failure,Faith,Family,Family History,Fear,Fellowship,Finance,FirstPersonPronoun,Foreordination,Forgiveness,Freedom,Friendship,Gender,Gift,Giving,God,Gospel,Government,Gratitude,Growth,Habit,Happiness,Heal,Heavenly Father,Heritage,History,Holy Ghost,Home,Honesty,Honor,Hope,Humility,I am a woman,Improvement,Individual Worth,Initiative,Inspiration,Integrity,Jesus Christ,Joseph Smith,Joy,Kind,Knowledge,Language,Last Day,Law,Leadership,Learning,Life,Light,Light of Christ,Listen,Lonely,Love,Marriage,Media,Meekness,Membership,Men,Mercy,Miracle,Missionary,Mistake,Modesty,MonthGiven,Morality,Mortality,Music,NT,Natural Man,OT,Obedience,Opportunity,Ordinance,Organization,Parent,Patience,Patriarchal Blessing,Patriotism,Peer Pressure,PercentInItalics,PercentInQuotes,Perfection,Perspective,Pioneer,Plan of Salvation,PoGP,Polarity,Politic,Potential,Power,Prayer,Premortal,Preparation,Prepare,Priesthood,Priority,Progression,Prophet,Question,Relationship,Religion,Religious Freedom,Remember,Repent,Responsibility,Restoration,Resurrection,Revelation,Reverence,Righteous,Sabbath,Sacrament,Sacred,Sacrifice,Safety,Salvation,Satan,Scripture,Second Coming,Self-Reliance,Selfless,Service,Socialism,SpeakerPosition,Spirit,Spiritual Growth,Spirituality,Standard,Stewardship,StoryNames,Subjectivity,Success,Suffering,Talent,Talking Speed,Teaching,Technology,Temple,Tempt,Testimony,Thought,Time,Tithing,Tolerance,Trial,Trust,Truth,Understand,Unity,Value,Virtue,War,WeToYouRatio,Wisdom,Witness,Woman,WordCount,WordQuantity,Work,Worldly,Worship,Worthy,YearGiven,Zion,Pageviews
0,0,0,0,19,0,1,0,0,6,0,0,6,3,0,0,0,2,8,1,1,1,0,1,2,0,0,9,5,0,4,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,2332,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,4,2,0,1,0,0,78,0,1,0,5,Male,4,4,14,1,0,0,1,2,1,0,1,0,0,2,3,0,1,3,0,0,1,0,0,0,0,7,0,2,2,0,0,0,0,1,6,14,2,0,0,0,5,1,0,0,0,6,1,3,5,2,0,7,0,0,2,8,0,0,1,1,0,0,1,1,0,0,0,0.032590529,0.027576602,7,1,2,0,0,0.14,0,0,6,0,0,0,0,0,0,1,1,2,0,0,0,0,6,0,0,2,0,1,0,0,0,0,0,0,0,0,21,0,0,0,1,0,of the Sunday School General Board,0,0,0,0,0,8,0.5,0,4,0,1.85998798,1,0,1,0,1,2,9,1,0,1,0,1,12,0,1,0,0,147.846,0,2,3,3590,1047,2,0,0,4,2011,0,179215
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,47,0,0,0,2,Female,0,4,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,18,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.074026803,0.006381621,0,1,0,0,0,0.18,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"Wife of Rex E. Lee, President of Brigham Young University",0,0,0,0,0,12,0.51,0,0,0,1.87050875,0,0,0,0,1,2,4,0,0,1,1,0,3,0,0,0,0,25.6,0,0,1,1567,627,1,0,0,0,1992,0,90248
0,0,0,0,7,0,0,0,0,2,0,0,6,6,0,0,0,2,0,0,1,0,0,2,0,3,0,1,2,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,3242,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,10,5,0,0,0,1,54,0,5,0,2,Male,0,4,9,4,0,1,0,0,3,2,0,0,3,0,5,1,0,3,0,0,1,0,0,0,0,5,0,0,3,0,0,0,0,1,1,22,2,0,0,0,8,4,0,0,0,3,0,2,2,7,0,1,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0.085436893,0.0110957,0,0,0,0,0,0.12,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,11,4,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,Of the Quorum of the Twelve Apostles,0,0,0,0,0,10,0.45,1,0,0,1.765337296,1,0,0,0,0,4,8,0,0,0,5,1,1,0,0,0,1,51.2,0,0,1,3605,1145,0,0,0,0,2009,1,84562
0,6,0,21,66,0,0,0,1,2,2,1,7,2,0,0,0,0,36,0,3,0,0,0,1,0,0,6,0,0,8,0,0,2,0,0,2,1,0,0,0,0,1,0,0,14,1,99,2,0,0,1,0,1,3,1,2,0,1,0,0,6,0,1,13,4,0,3,0,0,72,0,20,4,0,Male,2,14,23,7,0,0,0,0,10,6,0,0,5,0,1,1,0,4,1,0,2,0,0,1,0,9,3,1,0,1,1,1,13,0,3,16,8,0,0,0,7,10,0,0,0,20,16,0,0,4,0,8,0,0,0,5,3,7,0,0,0,0,1,0,0,0,0,0,0.027831968,2,1,0,1,4,0.08,0,0,7,2,0,0,1,0,0,2,1,3,0,0,0,3,17,58,2,1,2,0,0,0,0,0,3,0,4,11,4,0,0,1,2,0,of the Presidency of the Seventy,1,0,0,0,0,21,0.53,6,8,1,2.631864789,7,0,0,3,0,2,16,0,2,0,2,0,11,0,0,0,2,33.379,4,2,6,7689,1965,4,0,0,1,2017,0,74320
0,0,1,3,17,0,0,0,0,0,0,2,18,4,0,0,0,0,4,0,0,2,0,3,0,2,0,9,0,0,12,0,0,2,1,1,0,0,0,0,1,0,0,0,0,3,0,155,0,0,0,0,0,6,1,0,39,0,0,1,0,1,0,0,3,6,0,1,0,0,93,0,0,1,7,Female,15,0,30,2,0,0,4,0,1,0,1,1,3,4,6,0,0,3,0,0,2,0,0,3,0,3,0,1,1,16,1,2,3,5,11,15,1,0,0,0,5,0,0,0,0,3,0,0,0,0,0,6,0,1,0,3,0,6,0,5,0,2,3,0,0,0,0,0.159689253,0.007337074,0,2,0,0,1,0.17,0,8,5,2,0,2,7,1,0,1,6,3,0,0,3,1,0,2,0,0,4,1,3,0,0,3,1,0,0,0,19,1,0,0,5,0,"Associate Professor, BYU Marriott School of Business",14,2,0,0,1,24,0.51,0,0,1,2.876769476,3,0,2,0,2,0,15,0,0,0,0,4,4,0,7,0,0,176.333,6,0,44,4634,1418,9,0,1,0,2017,2,63369
0,0,0,0,17,0,2,1,0,0,0,0,5,1,0,1,0,0,2,0,1,0,0,1,0,0,0,7,0,0,8,0,0,3,1,0,0,0,0,0,1,1,1,1,0,4,1,6847,3,0,0,0,0,0,2,1,2,0,0,0,0,3,0,0,1,0,0,14,0,0,35,0,0,0,0,Male,0,4,25,2,0,0,0,0,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,3,4,0,2,0,1,0,2,0,0,9,8,0,0,0,6,5,0,0,0,4,0,2,6,0,0,3,0,0,0,2,1,2,0,2,0,0,0,2,0,0,0,0.077886301,0.025043827,0,0,0,0,7,0.15,0,0,10,2,0,0,0,0,0,0,5,4,1,0,0,4,0,0,2,1,24,0,2,0,0,2,0,1,1,8,22,0,0,0,2,0,Of the Quorum of the Twelve Apostles,10,0,0,1,0,9,0.47,0,0,0,1.908359248,3,0,1,2,2,5,8,0,0,0,1,3,1,0,0,0,0,11.458,0,1,1,3993,1157,0,0,4,1,1999,0,60568
0,0,0,0,8,0,0,0,0,38,0,0,9,3,0,0,1,8,7,2,3,2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5881,0,0,1,1,0,2,1,0,0,0,1,0,1,9,0,0,8,1,0,1,0,0,85,0,0,0,0,Male,0,3,3,6,0,0,0,0,0,0,1,0,0,2,3,0,0,2,0,0,0,0,0,1,0,9,0,2,1,0,0,0,0,1,8,14,2,0,1,0,3,2,0,2,0,17,4,0,4,1,0,10,0,3,0,1,9,0,0,0,0,0,0,5,0,0,0,0.017016807,0,1,2,1,0,0,0.2,0,0,42,7,0,2,2,1,1,2,2,1,0,0,0,4,1,1,0,0,0,0,1,0,1,2,3,1,0,0,6,0,0,0,4,0,President of Brigham Young University_‹_Idaho,2,0,0,0,0,10,0.56,0,6,0,2.806992162,4,0,0,2,1,0,3,0,0,1,1,0,13,0,0,0,0,192.045,1,1,9,4760,1232,2,0,0,1,2001,1,45590
0,0,0,0,15,0,5,0,0,0,0,0,5,0,0,0,0,4,2,0,0,1,0,0,1,1,0,11,1,0,9,0,0,1,1,0,0,0,0,0,0,3,0,0,0,5,2,13770,1,0,0,0,19,1,1,0,2,0,0,3,0,1,0,1,12,2,0,5,0,1,101,0,0,0,8,Male,0,5,12,2,0,0,3,2,1,0,0,0,1,1,3,0,1,7,1,0,1,0,0,0,0,3,1,0,2,0,2,0,2,0,2,18,0,0,0,0,4,1,0,0,0,20,0,1,8,2,0,3,0,0,1,1,0,5,0,0,0,0,1,1,0,0,0,0.038641121,0,0,0,1,0,2,0.08,0,0,3,3,0,5,11,1,1,1,4,1,0,0,3,7,10,1,0,0,0,0,2,0,0,0,4,2,0,3,5,0,0,0,2,0,Commissioner of the Church Educational System,4,0,1,0,0,25,0.5,0,0,0,3.038760711,2,0,0,0,0,8,24,1,0,0,1,0,1,0,1,1,0,3.195,2,0,2,6211,1828,13,0,0,0,1980,0,37040
0,1,0,0,9,0,1,0,0,0,0,0,2,3,0,0,0,0,4,0,0,1,0,0,0,6,0,1,1,0,2,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,9,6497,0,0,3,1,0,2,1,0,1,1,0,3,0,3,0,1,4,0,0,1,0,0,62,0,1,0,6,Male,3,4,6,2,0,0,0,0,7,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,5,0,2,8,0,1,1,0,1,1,14,2,0,0,0,59,14,0,0,2,5,0,1,0,3,0,2,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0.017205422,0,1,0,0,0,0,0.24,0,0,2,0,0,0,0,2,0,0,2,0,6,0,0,3,0,0,0,0,1,0,0,0,0,1,0,3,1,0,1,0,0,2,0,0,Of the Quorum of the Twelve Apostles,4,0,0,1,0,20,0.56,1,2,1,2.044197874,1,0,1,0,0,2,8,0,0,1,1,3,0,0,0,3,0,68.174,0,1,4,3836,1225,1,0,0,1,2000,0,34880
0,0,0,0,43,0,6,0,0,9,0,1,9,0,0,1,5,1,8,0,1,2,0,1,0,0,0,14,17,1,7,0,0,6,0,0,0,0,0,0,0,0,3,8,0,9,0,1933,0,0,0,0,0,28,17,2,1,0,0,0,6,1,0,0,6,1,0,0,0,0,52,0,0,0,0,Male,22,10,117,4,0,0,0,0,3,1,3,0,7,2,2,1,6,4,0,0,0,0,0,2,1,8,4,4,3,7,0,0,4,1,3,16,1,0,0,0,7,0,0,0,0,70,0,2,7,0,0,8,0,0,2,19,0,7,1,0,13,1,6,2,0,0,0,0.113756256,0,35,0,0,0,0,0.17,0,18,28,1,0,1,1,2,0,6,3,3,3,0,0,2,0,1,1,1,4,0,4,0,2,0,0,1,1,0,15,0,0,0,1,0,Of the Presidency of the Seventy,18,0,0,1,0,38,0.49,0,0,0,3.143169389,8,0,1,0,3,5,2,0,0,0,0,19,13,0,1,0,0,90.613,3,7,1,7393,1928,11,0,5,0,2012,0,30108
0,0,0,0,44,0,2,0,1,6,1,2,16,4,0,5,0,8,29,0,0,2,0,0,0,1,1,6,0,0,7,0,0,1,0,4,0,0,0,1,1,1,3,0,0,6,0,5104,1,1,0,0,0,0,4,0,0,0,3,0,1,0,0,0,30,4,0,1,0,0,101,1,0,0,5,Female,8,7,52,10,0,0,0,1,12,6,0,0,1,10,1,0,1,2,1,0,2,0,0,3,1,8,3,2,3,3,4,2,0,11,11,32,2,0,1,0,2,3,0,0,1,18,0,1,4,0,0,12,0,1,0,6,1,2,6,0,4,0,1,0,1,0,0,0.067423121,0.007728992,2,0,0,0,1,0.13,0,0,89,2,2,1,3,19,0,1,11,3,0,0,0,1,12,1,2,0,8,0,6,0,0,2,0,1,1,15,8,0,0,0,2,0,President and CEO of Deseret Book Company,9,0,0,1,1,15,0.51,0,0,0,3.238543406,3,0,15,1,1,1,16,0,0,2,2,8,11,0,0,4,2,22.231,2,5,6,6081,1663,1,0,0,3,2003,1,26483
0,0,0,0,65,0,0,0,1,4,0,0,7,1,0,1,0,10,28,4,7,0,0,0,1,0,0,2,1,0,7,0,0,3,3,0,0,0,0,0,1,0,3,0,0,26,0,3951,2,0,3,0,1,1,8,2,1,0,2,0,0,6,0,0,15,0,0,1,0,0,69,0,0,0,0,Male,4,4,12,7,0,2,1,0,1,0,1,0,1,9,1,1,0,0,0,0,0,0,0,4,0,12,2,1,0,11,0,0,0,0,11,23,0,0,0,0,1,0,0,0,0,3,1,0,4,0,0,2,0,1,0,7,0,1,1,1,1,0,0,0,0,0,0,0.055596738,0,0,1,0,1,3,0.18,0,0,2,1,0,1,1,2,0,2,3,5,3,0,0,2,2,1,2,0,10,0,3,0,0,2,0,1,2,0,45,0,0,0,1,0,Of the Quorum of the Twelve Apostles,10,1,0,3,1,6,0.46,0,0,0,2.270676793,3,0,2,4,2,2,6,0,0,0,0,3,16,1,0,0,0,79.529,3,4,4,5396,1418,7,0,2,1,2007,2,26477
0,0,0,0,9,0,0,0,0,0,0,0,11,6,0,1,0,4,0,1,0,1,0,1,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,239,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,35,9,0,15,0,0,151,0,0,0,5,Female,3,2,48,0,0,0,0,0,1,1,0,0,0,0,3,0,0,20,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,3,23,0,0,2,0,10,1,0,2,0,3,0,0,1,0,0,4,0,0,0,2,0,6,0,1,0,0,1,1,0,0,0,0.165449614,0,1,0,0,0,0,0.17,0,0,1,5,0,0,0,0,0,0,2,10,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,BYU Professor in the School of Family Life,1,0,0,0,0,11,0.5,0,1,0,2.388052662,2,0,1,0,0,3,12,0,0,1,4,3,12,0,0,0,0,104.224,1,2,10,4793,1231,11,0,0,0,2017,0,25923
0,0,0,3,31,0,0,7,0,2,0,1,18,58,1,0,3,8,11,1,1,2,0,0,1,0,0,8,2,5,24,0,0,0,1,1,0,0,0,0,0,45,1,1,0,6,0,1408,3,0,0,0,0,3,2,1,0,0,0,1,0,14,7,1,19,15,0,11,0,0,219,0,4,1,7,Male,13,13,36,2,0,0,9,0,4,75,6,0,1,1,2,2,3,9,1,0,0,0,0,1,3,22,2,2,1,0,2,0,0,1,12,57,10,0,6,2,29,9,0,0,0,13,2,0,0,2,0,1,0,1,0,9,0,4,0,2,0,0,3,3,0,0,0,0.151406217,0.003383379,0,1,0,0,1,0.17,0,0,13,24,0,0,0,3,1,2,1,3,1,1,0,10,1,1,0,0,2,0,2,0,1,0,0,0,0,5,8,0,0,0,3,0,Unknown,4,2,0,0,0,72,0.52,1,6,1,4.724363824,8,0,3,0,1,7,19,0,0,1,4,11,7,0,3,1,2,70.141,1,0,4,9458,2429,8,0,2,1,2014,0,24657
0,0,0,0,7,0,4,0,0,7,0,0,3,0,0,5,0,0,2,10,0,1,0,0,1,0,0,2,1,0,12,0,0,4,0,0,0,0,0,0,0,0,2,2,0,4,0,13695,0,0,0,0,0,4,13,0,0,0,14,7,6,0,0,0,9,2,0,1,0,0,35,1,0,0,0,Male,2,4,36,7,0,0,0,1,2,0,0,0,0,6,2,2,1,2,0,0,0,0,0,2,0,4,4,4,4,16,0,0,6,0,8,58,3,0,1,0,2,7,0,0,0,39,2,0,0,0,0,6,0,0,0,1,0,0,9,3,2,0,0,0,0,0,0,0.054943101,0,10,1,0,4,0,0.19,0,0,18,1,0,0,3,0,0,10,3,4,2,7,0,0,1,0,0,7,12,0,2,0,0,0,2,0,21,0,6,0,0,0,1,0,Of the Quorum of the Twelve Apostles,23,0,0,1,0,8,0.49,0,0,0,2.584128136,3,0,6,0,1,0,9,0,0,0,0,39,4,1,0,0,0,529,4,3,0,5624,1221,10,0,3,1,1980,0,22890
0,0,0,0,42,1,0,0,1,0,1,0,16,0,0,0,0,4,17,3,1,0,0,0,1,0,0,4,0,0,9,0,0,1,0,0,0,1,0,0,0,0,1,1,0,7,6,1534,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,7,5,0,0,0,0,25,0,1,0,0,Male,7,5,6,1,0,0,0,1,1,0,0,0,0,2,0,0,1,4,0,0,0,0,0,1,0,5,1,1,1,1,0,1,0,0,1,11,0,0,0,0,6,8,3,0,0,12,1,0,0,3,0,9,1,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0.07336128,0,0,0,0,0,2,0.17,0,0,5,9,0,1,2,0,0,0,3,3,3,0,0,2,6,1,0,0,1,0,0,0,0,7,0,0,0,13,5,0,0,0,1,0,Unknown,9,0,0,4,0,16,0.56,0,1,0,2.571109072,2,0,1,52,2,5,7,0,2,0,9,1,5,0,0,2,0,25.09,20,1,8,5248,1542,1,0,0,0,2013,0,21951
0,0,0,0,23,1,3,3,0,2,1,0,17,0,0,0,0,16,2,0,1,0,0,0,0,1,0,2,6,0,23,0,0,1,1,1,1,0,0,0,0,1,4,0,0,15,0,3370,0,0,5,0,2,3,4,2,1,0,0,1,2,2,0,0,12,2,0,3,0,0,54,0,1,0,5,Male,1,5,36,6,0,0,0,0,0,0,0,0,11,1,1,1,2,2,0,0,0,0,0,0,2,4,9,1,9,2,0,0,0,5,1,21,0,0,0,3,13,0,0,1,0,10,1,0,0,0,0,9,0,1,0,3,0,3,2,1,2,0,0,2,0,0,0,0.033185084,0,0,0,0,0,0,0.09,0,1,7,5,0,0,0,4,0,0,23,0,0,0,0,5,3,1,0,0,4,0,7,0,0,7,0,0,2,0,4,0,0,0,0,0,of the Quorum of the Twelve Apostles,8,0,0,0,0,14,0.52,0,14,0,2.082520931,7,0,17,0,5,1,32,0,0,3,0,1,1,0,0,0,1,130.797,0,3,2,5846,1571,0,0,0,3,2008,1,21936
0,0,0,0,10,1,7,0,0,0,0,0,7,4,0,0,0,1,2,2,2,3,0,2,2,1,0,4,3,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,13059,0,0,3,4,1,3,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,119,0,1,1,0,Combo,0,10,32,1,0,0,1,0,2,0,1,1,3,0,3,1,1,2,0,0,0,0,0,2,0,3,2,0,4,1,0,0,1,1,1,19,2,0,2,0,3,1,0,0,0,23,0,0,2,0,0,2,0,0,0,6,0,2,1,0,0,0,1,2,0,0,0,0.206673307,0,0,0,0,0,0,0.09,0,0,8,2,0,2,2,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,2,0,1,16,2,0,0,1,5,0,Unknown,9,0,0,1,0,21,0.51,1,3,0,3.036518878,1,0,5,17,4,3,17,0,0,0,1,2,2,0,0,1,1,25.962,1,0,5,6024,1857,8,0,4,2,1982,0,21654
0,0,0,12,5,1,0,0,0,0,0,2,10,0,2,0,0,4,0,1,2,2,0,0,0,0,0,1,0,0,10,0,0,5,0,0,0,0,0,0,0,1,1,0,0,5,0,16346,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,77,0,0,0,1,Male,4,8,14,2,0,0,0,0,0,0,1,0,1,5,0,1,2,2,0,0,1,0,0,6,0,2,3,1,1,5,0,2,1,1,5,14,4,0,0,0,0,4,0,0,0,6,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.050254748,0,2,0,0,0,0,0.18,0,0,11,2,0,0,2,0,0,1,10,4,0,0,0,1,0,0,2,0,17,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,of the Quorum of the Twelve Apostles,19,0,0,0,0,10,0.46,0,0,4,2.817419719,5,0,1,0,3,7,2,0,0,0,0,8,2,0,0,0,0,66.618,5,0,0,4318,1003,6,0,0,0,1973,1,21018
