Gender,Polarity,Subjectivity,WordCount,FleschReading,OT,NT,BoM,DC,PoGP,AllScriptureCount,StoryNames,TalkingSpeed,AuthorityMentions,WeToYouRatio,WordQuantity,FirstPersonPronoun,PercentInItalics,PercentInQuotes,DaysElapsed,NameSearchResults,Pageviews,MonthGiven,YearGiven,Popular
Male,0.16,0.52,4278.0,5.61,14.0,0.0,3.0,6.0,0.0,23.0,10.0,2.7642325453166996,3.0,13.349,1321.0,16.0,0.1895745675549322,0.0,10851,322000.0,2786.0,3.0,1988.0,n
Male,0.14,0.51,3605.0,3.66,0.0,8.0,8.0,3.0,0.0,19.0,8.0,1.867875648,6.0,143.115,1055.0,67.0,0.032177531,0.270180305,2332,220000.0,21.0,7,2011,n
Male,0.19,0.49,5630.0,6.77,0.0,1.0,2.0,4.0,0.0,7.0,7.0,2.587316176,3.0,529.0,1219.0,35.0,0.054706927,0.034635879,13695,20200.0,5.0,6,1980,n
Male,0.11,0.48,3301.0,6.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,2.694693878,2.0,23.529,1024.0,131.0,0.056952439,0.08906392,302,897000.0,11.0,1,2017,n
Male,0.11,0.48,3301.0,6.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,2.694693878,2.0,23.529,1024.0,131.0,0.056952439,0.08906392,302,897000.0,8.0,1,2017,n
Male,0.19,0.57,4778.0,7.56,0.0,1.0,7.0,0.0,0.0,8.0,8.0,2.818879056,9.0,192.045,1233.0,85.0,0.016743407,0.225826706,5881,174000.0,10.0,10,2001,n
Male,0.16,0.47,2659.0,5.22,3.0,2.0,6.0,4.0,0.0,17.0,6.0,1.472314507,2.0,33.333,917.0,13.0,0.012786762,0.086874765,11005,772000.0,5.0,10,1987,n
Male,0.07,0.53,5880.0,6.0,0.0,4.0,2.0,9.0,0.0,8.0,8.0,0.588,7.0,40.612,1566.0,136.0,0.206802721,0.045408163,7463,1020000.0,5.0,6,1997,n
Male,0.15,0.51,3900.0,5.22,2.0,2.0,2.0,5.0,7.0,17.0,7.0,1.864244742,5.0,11.458,1142.0,35.0,0.088461538,0.104102564,6847,480000.0,5.0,3,1999,n
Female,0.18,0.52,5910.0,6.01,0.0,3.0,2.0,5.0,1.0,15.0,18.0,3.128639492,25.0,238.05,1530.0,22.0,0.121319797,0.210998308,2143,571000.0,7.0,1,2012,n
Female,0.17,0.56,5253.0,4.83,5.0,11.0,17.0,1.0,2.0,42.0,14.0,2.573738364,16.0,25.862,1556.0,21.0,0.073101085,0.16828479,1534,439000.0,8.0,9,2013,n
Female,0.11,0.49,6415.0,6.39,2.0,9.0,1.0,2.0,0.0,17.0,23.0,2.645360825,14.0,124.471,1961.0,188.0,0.2395947,0.086204209,7708,805000.0,8.0,10,1996,n
Male,0.18,0.52,3819.0,6.01,1.0,10.0,5.0,3.0,0.0,21.0,12.0,2.626547455,3.0,2401.0,1315.0,20.0,0.010997643,0.073317622,13882,79600.0,5.0,11,1979,n
Male,0.23,0.52,4549.0,7.95,1.0,0.0,0.0,9.0,0.0,3.0,8.0,2.500824629,4.0,56.941,1248.0,72.0,0.012310398,0.057595076,5867,643000.0,5.0,11,2001,n
Male,0.17,0.53,3652.0,4.82,0.0,8.0,24.0,4.0,5.0,38.0,10.0,0.3652,0.0,408.333,887.0,17.0,0.1615553121577218,0.0,11096,33800.0,796.0,7.0,1987.0,n
Female,0.2,0.46,3753.0,6.0,0.0,3.0,0.0,0.0,1.0,5.0,15.0,2.829372195506377,7.0,71.158,1262.0,79.0,0.1001865174527045,0.0,5265,33800.0,547.0,7.0,2003.0,n
Male,0.29,0.49,3621.0,4.03,0.0,9.0,3.0,9.0,1.0,16.0,5.0,2.1981477524379347,6.0,16.514,898.0,84.0,0.059375863021264845,0.0,15618,33800.0,44.0,2.0,1975.0,n
Male,0.16,0.5,6450.0,6.78,0.0,5.0,4.0,13.0,1.0,19.0,13.0,3.30701394585726,10.0,64.723,1753.0,181.0,0.014573643410852714,0.0,7624,514.0,1784.0,1.0,1997.0,n
Male,0.2,0.48,4263.0,4.82,0.0,2.0,14.0,6.0,3.0,23.0,13.0,1.3618926484845284,3.0,70.349,1020.0,46.0,0.25404644616467276,0.0,12414,812000.0,494.0,12.0,1983.0,n
Male,0.17,0.49,6004.0,6.78,5.0,1.0,0.0,2.0,1.0,7.0,24.0,0.6004,25.0,60.75,1482.0,83.0,0.15039973351099267,0.0,13597,500000.0,245.0,9.0,1980.0,n
Male,0.18,0.49,3737.0,5.22,1.0,5.0,0.0,2.0,0.0,18.0,7.0,0.3737,5.0,17.64,1071.0,16.0,0.24217286593524218,0.0,16241,500000.0,290.0,6.0,1973.0,n
Male,0.18,0.53,3143.0,4.44,0.0,1.0,6.0,3.0,0.0,16.0,5.0,0.3143,3.0,2.761,1038.0,37.0,0.17944638880050906,0.0,14547,500000.0,545.0,1.0,1978.0,n
Female,0.13,0.45,4666.0,5.61,1.0,7.0,8.0,0.0,0.0,18.0,7.0,0.4666,0.0,392.0,1392.0,25.0,0.049078439777111016,0.0,7792,77900.0,689.0,7.0,1996.0,n
Male,0.19,0.51,5530.0,5.6,0.0,6.0,1.0,2.0,0.0,18.0,5.0,0.553,21.0,67.014,1328.0,106.0,0.21139240506329113,0.0,11623,46000.0,509.0,2.0,1986.0,n
Male,0.17,0.52,4606.0,4.04,0.0,3.0,1.0,0.0,0.0,7.0,14.0,2.455848097139829,0.0,7.86,1304.0,121.0,0.07881024750325662,0.0,12965,78900.0,748.0,6.0,1982.0,n
Male,0.12,0.54,5089.0,7.95,0.0,1.0,2.0,4.0,0.0,4.0,19.0,0.5089,5.0,58.5,1596.0,63.0,0.10846924739634506,0.0,7848,1010.0,407.0,6.0,1996.0,n
Male,0.22,0.5,6583.0,7.96,2.0,6.0,12.0,2.0,1.0,27.0,14.0,3.2894298521463825,11.0,68.211,1781.0,86.0,0.008962479112866474,0.0,7120,199000.0,1285.0,6.0,1998.0,n
Male,0.2,0.48,3922.0,7.57,0.0,0.0,0.0,1.0,0.0,2.0,14.0,0.3922,19.0,471.273,1257.0,42.0,0.06680265170831208,0.0,6673,21700.0,184.0,8.0,1999.0,n
Male,0.21,0.5,3909.0,10.7,0.0,1.0,0.0,0.0,0.0,3.0,13.0,0.3909,17.0,693.444,1104.0,35.0,0.03095420823740087,0.0,6309,225.0,265.0,8.0,2000.0,n
Male,0.17,0.55,5408.0,6.39,2.0,6.0,9.0,0.0,0.0,20.0,17.0,0.5408,15.0,92.19,1364.0,97.0,0.11593934911242604,0.0,8030,225.0,1084.0,12.0,1995.0,n
Male,0.19,0.48,8672.0,9.13,4.0,3.0,3.0,0.0,1.0,12.0,28.0,0.8672,23.0,896.073,1982.0,103.0,0.12130996309963099,0.0,7764,225.0,214.0,8.0,1996.0,n
