Name,Female,Male,M/F
James,17151,3917672,228.42
Michael,20140,3896665,193.48
Robert,15104,3754188,248.56
John,14424,3674509,254.75
David,11611,3177908,273.7
William,10582,2735214,258.48
Richard,7783,2169516,278.75
Thomas,6489,1827219,281.59
Joseph,7676,1798776,234.34
Christopher,8926,1724785,193.23
Charles,8398,1662698,197.99
Daniel,7112,1508717,212.14
Mark,4142,1281693,309.44
Matthew,4965,1245349,250.83
Steven,4330,1196973,276.44
Donald,4336,1137557,262.35
Paul,4373,1104491,252.57
Kenneth,4467,1072734,240.15
Brian,4335,1072630,247.43
Anthony,6117,1050113,171.67
Ronald,3733,1031038,276.2
Kevin,4955,1009597,203.75
Timothy,4185,985622,235.51
Jeffrey,3456,936606,271.01
Andrew,3982,908741,228.21
Jason,4786,895238,187.05
Gary,3204,884859,276.17
Joshua,4309,875740,203.24
Edward,3611,844371,233.83
George,5669,840947,148.34
Stephen,2757,781120,283.32
Larry,3450,780635,226.27
Eric,4112,774537,188.36
Scott,2590,744718,287.54
Gregory,2828,674306,238.44
Ryan,12395,673776,54.36
Nicholas,2612,633948,242.71
Jonathan,3088,618542,200.31
Justin,3434,607485,176.9
Dennis,2316,586733,253.34
Patrick,2630,582196,221.37
Jerry,14165,568680,40.15
Brandon,3775,562423,148.99
Frank,2516,531394,211.21
Raymond,2511,521906,207.85
Douglas,1762,518881,294.48
Jacob,1519,479517,315.68
Peter,1588,461743,290.77
Benjamin,1895,437897,231.08
Adam,1809,425299,235.1
Samuel,2058,420322,204.24
Aaron,3720,416117,111.86
Terry,94937,409725,4.32
Keith,2026,401292,198.07
Roger,1469,397130,270.34
Kyle,7737,379242,49.02
Jeremy,2202,376972,171.2
Gerald,1944,375497,193.16
Jose,3391,374487,110.44
Tyler,10676,365314,34.22
Zachary,1197,352373,294.38
Bruce,1183,350643,296.4
Carl,2172,350519,161.38
Jack,1289,340283,263.99
Walter,1962,338027,172.29
Lawrence,1535,336822,219.43
Alexander,3491,333832,95.63
Sean,2607,333347,127.87
Billy,3878,328639,84.74
Nathan,1364,315151,231.05
Henry,2296,313706,136.63
Joe,8087,312789,38.68
Randy,4868,311931,64.08
Harold,1381,308783,223.59
Wayne,1246,305963,245.56
Arthur,1904,297666,156.34
Jesse,8553,297104,34.74
Bryan,1481,292853,197.74
Willie,57260,291676,5.09
Bobby,8089,290414,35.9
Craig,1002,289462,288.88
Alan,884,287740,325.5
Todd,1061,275217,259.39
Johnny,2891,271332,93.85
Philip,909,270751,297.86
Phillip,1241,269879,217.47
Russell,1224,268868,219.66
Shawn,32500,268646,8.27
Albert,1495,266823,178.48
Roy,1652,264197,159.93
Danny,1380,263885,191.22
Jimmy,1910,261876,137.11
Bradley,1126,261733,232.44
Travis,1902,258542,135.93
Ralph,1044,250578,240.02
Dale,20264,240049,11.85
Eugene,1457,238951,164
Austin,2463,235680,95.69
Louis,1539,230395,149.7
Rodney,1126,228982,203.36
Chad,1033,228125,220.84
Martin,1148,226249,197.08
