Pageviews,Polarity,Subjectivity,WordCount,FleschReadingEase,Ot,Nt,Bom,Dyc,Pogp,AllScriptureCount,NameMentions,TimeElapsed,AppealToAuthority,WeToYouRatio,WordQuantity,UseOfI,WordsInItalics,QuotesInQuotationMarks,DaysElapsed,NameSearchResults,Name
5,0.15,0.52,4288,7.5,15,0,4,6,0,25,0,1547.6266666666668,3,13.349,1328,15,811,130,10843,322000,Robert D. Hales
21,0.14,0.51,3605,5.6,0,9,8,3,0,20,2,1930.12,6,143.115,1055,67,116,974,2324,220000,Brad Wilcox
5,0.19,0.49,5630,8.8,0,1,2,4,0,7,0,2176.362666666667,3,529.0,1219,35,308,195,13687,20200,Bruce R. McConkie
11,0.11,0.48,3301,7.3,0,1,0,2,0,3,0,1225.6826666666666,2,23.529,1024,131,188,294,294,503000,Craig Manning
8,0.11,0.48,3301,7.3,0,1,0,2,0,3,0,1225.6826666666666,2,23.529,1024,131,188,294,294,503000,Craig Manning
10,0.19,0.57,4778,8.3,0,1,13,0,0,14,1,1695.7653333333333,9,192.045,1233,85,80,1079,5873,174000,David A. Bednar
29,0.16,0.47,2659,6.8,3,2,6,6,0,17,0,1806.3573333333334,2,33.333,917,13,34,231,10997,71600,Ezra Taft Benson
56,0.14,0.48,4000,7.0,2,3,2,4,7,18,0,2092.3733333333334,5,11.458,1182,35,310,506,6839,720000,Jeffrey R. Holland
5,0.18,0.52,5910,7.4,0,3,2,9,1,15,2,1889.6445,25,238.05,1530,22,717,1247,2135,958000,Julie B. Beck
5,0.17,0.56,5253,7.2,5,11,18,7,2,43,1,2041.1425,16,25.862,1556,21,384,884,1526,586000,Lynn G. Robbins
7,0.11,0.49,6415,7.4,3,9,1,5,0,18,1,2425.3226666666665,14,124.471,1961,188,1537,553,7700,1090000,Madison U. Sowell
5,0.18,0.52,3819,9.2,1,10,6,5,0,22,0,1454.1013333333333,3,2401.0,1315,20,42,280,13874,571000,Neal A. Maxwell
7,0.23,0.52,4549,8.8,1,0,0,2,0,3,0,1819.6693333333333,4,56.941,1248,72,56,262,5859,3700000,Robert S. Patterson
54,0.2,0.46,3774,7.3,0,3,0,2,1,6,0,1326.4426666666666,7,69.444,1266,76,415,416,5257,456000,A. Elaine Bond
8,0.28,0.5,3628,6.4,0,9,3,3,1,16,1,1647.296,6,14.132,907,76,214,926,15610,46900,LeGrand Richards
8,0.15,0.5,6475,7.8,0,5,4,9,1,19,1,1950.4,10,65.419,1761,165,93,620,7616,637000,A. LeGrand Richards
5,0.19,0.5,4286,5.8,0,2,16,4,3,25,0,3130.2026666666666,3,70.349,1028,45,1085,312,12406,80300,A. Theodore Tuttle
5,0.17,0.52,4622,5.0,0,3,1,3,0,7,0,1875.5231666666666,0,8.245,1309,115,362,230,12957,166,Adrian Van Mondfrans
776,0.21,0.51,6594,9.1,2,6,13,6,1,28,0,2001.2586666666666,11,72.0,1793,80,58,550,7112,633000,Alan J. Hawkins
455,0.16,0.52,4181,7.2,0,6,6,2,0,14,0,1419.968,12,147.059,1287,116,201,303,5670,636000,Alan Parkinson
8,0.12,0.51,3849,9.1,0,3,1,0,0,4,0,1841.3066666666666,0,486.0,1251,86,666,61,532,58100,Alan R. Harker
44,0.14,0.5,5735,7.3,4,9,2,6,1,22,1,1828.2626666666667,11,75.571,1906,26,897,455,7833,1510000,Alexander B. Morrison
18,0.14,0.45,7813,7.2,6,1,11,8,2,28,0,2005.2906666666668,41,69.143,2012,47,758,822,1246,70900,Alexander L. Baugh
1406,0.21,0.52,836,8.7,0,0,0,0,0,0,0,348.69866666666667,1,6.722,400,18,58,18,579,232000,Alicia K. Stanton
5,0.15,0.53,3425,6.5,0,3,6,2,2,13,0,1551.0913333333333,10,12.15,1098,26,493,201,679,162000,Allan F. Packer
13,0.1,0.51,4194,8.8,0,1,7,0,0,8,0,1992.03,11,174.05,1324,42,409,266,8449,78900,Allen E. Bergin
417,0.14,0.43,3446,7.3,0,3,3,4,0,10,0,1350.3626666666667,6,16.056,1363,23,26,233,2611,1010,Alton L. Thygerson
199,0.09,0.37,5131,9.8,0,3,0,2,0,5,2,1874.624,17,420.5,1498,43,1336,252,6440,199000,Alton L. Wade
226,0.25,0.51,559,7.8,0,0,0,0,0,0,0,233.85866666666666,0,4.0,278,15,185,4,579,225,Amy Fennegan
436,0.25,0.51,580,7.5,0,0,0,0,0,0,0,229.02266666666668,0,3.556,284,16,183,4,467,225,Amy Fennegan
163,0.2,0.52,4845,9.8,0,1,3,2,2,8,0,1786.4698333333333,7,52.267,1411,117,315,192,2072,223000,Amy Petersen Jensen
7,0.2,0.52,3779,7.6,5,11,12,3,3,34,0,1456.1493333333333,11,47.368,1094,24,532,288,4242,785000,Andrew C. Skinner
34,0.21,0.5,1478,8.1,0,2,4,1,2,9,0,644.4586666666667,0,108.0,648,7,61,169,4226,77200,Andrew J. Maxfield
6,0.15,0.46,3663,8.3,0,0,4,2,0,6,0,1618.5041666666666,13,103.361,1196,42,840,211,2492,964000,Andrew S. Gibbons
11,0.22,0.5,5196,5.9,2,1,4,7,5,19,0,2105.024,21,211.75,1304,20,1168,0,6734,4240,Angel Abrea
667,0.15,0.52,4711,8.7,1,2,2,5,1,11,0,1823.0826666666667,11,176.087,1331,37,1260,275,12201,4240,Angel Abrea
