@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute NT numeric
@attribute BoM numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInItalics numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Male,0.16,0.52,4278,5.61,14,0,3,6,0,23,10,2.764233,3,13.349,1321,16,0.189575,0,10851,322000,3,1988,y
Male,0.14,0.51,3605,3.66,0,8,8,3,0,19,8,1.867876,6,143.115,1055,67,0.032178,0.27018,2332,220000,7,2011,n
Male,0.19,0.49,5630,6.77,0,1,2,4,0,7,7,2.587316,3,529,1219,35,0.054707,0.034636,13695,20200,6,1980,n
Male,0.19,0.57,4778,7.56,0,1,7,0,0,8,8,2.818879,9,192.045,1233,85,0.016743,0.225827,5881,174000,10,2001,n
Male,0.16,0.47,2659,5.22,3,2,6,4,0,17,6,1.472315,2,33.333,917,13,0.012787,0.086875,11005,772000,10,1987,n
Male,0.07,0.53,5880,6,0,4,2,9,0,8,8,0.588,7,40.612,1566,136,0.206803,0.045408,7463,1020000,6,1997,n
Male,0.15,0.51,3900,5.22,2,2,2,5,7,17,7,1.864245,5,11.458,1142,35,0.088462,0.104103,6847,480000,3,1999,n
Female,0.18,0.52,5910,6.01,0,3,2,5,1,15,18,3.128639,25,238.05,1530,22,0.12132,0.210998,2143,571000,1,2012,n
Female,0.17,0.56,5253,4.83,5,11,17,1,2,42,14,2.573738,16,25.862,1556,21,0.073101,0.168285,1534,439000,9,2013,n
Female,0.11,0.49,6415,6.39,2,9,1,2,0,17,23,2.645361,14,124.471,1961,188,0.239595,0.086204,7708,805000,10,1996,n
Male,0.18,0.52,3819,6.01,1,10,5,3,0,21,12,2.626547,3,2401,1315,20,0.010998,0.073318,13882,79600,11,1979,n
