@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,13,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.16,0.52,14,3,0,23,10,3,13.349,1321,16,0,10851,1988,y
0.14,0.51,0,8,0,19,8,6,143.115,1055,67,0.27018,2332,2011,n
0.19,0.49,0,2,0,7,7,3,529,1219,35,0.034636,13695,1980,n
0.19,0.57,0,7,0,8,8,9,192.045,1233,85,0.225827,5881,2001,n
0.16,0.47,3,6,0,17,6,2,33.333,917,13,0.086875,11005,1987,n
0.07,0.53,0,2,0,8,8,7,40.612,1566,136,0.045408,7463,1997,n
0.15,0.51,2,2,7,17,7,5,11.458,1142,35,0.104103,6847,1999,n
0.18,0.52,0,2,1,15,18,25,238.05,1530,22,0.210998,2143,2012,n
0.17,0.56,5,17,2,42,14,16,25.862,1556,21,0.168285,1534,2013,n
0.11,0.49,2,1,0,17,23,14,124.471,1961,188,0.086204,7708,1996,n
0.18,0.52,1,5,0,21,12,3,2401,1315,20,0.073318,13882,1979,n
0.23,0.52,1,0,0,3,8,4,56.941,1248,72,0.057595,5867,2001,n
0.17,0.53,0,24,5,38,10,0,408.333,887,17,0,11096,1987,n
0.2,0.46,0,0,1,5,15,7,71.158,1262,79,0,5265,2003,n
0.29,0.49,0,3,1,16,5,6,16.514,898,84,0,15618,1975,n
0.16,0.5,0,4,1,19,13,10,64.723,1753,181,0,7624,1997,n
0.2,0.48,0,14,3,23,13,3,70.349,1020,46,0,12414,1983,n
0.17,0.49,5,0,1,7,24,25,60.75,1482,83,0,13597,1980,n
0.18,0.49,1,0,0,18,7,5,17.64,1071,16,0,16241,1973,n
0.18,0.53,0,6,0,16,5,3,2.761,1038,37,0,14547,1978,n
0.13,0.45,1,8,0,18,7,0,392,1392,25,0,7792,1996,n
0.19,0.51,0,1,0,18,5,21,67.014,1328,106,0,11623,1986,n
0.17,0.52,0,1,0,7,14,0,7.86,1304,121,0,12965,1982,n
0.12,0.54,0,2,0,4,19,5,58.5,1596,63,0,7848,1996,n
0.22,0.5,2,12,1,27,14,11,68.211,1781,86,0,7120,1998,n
0.2,0.48,0,0,0,2,14,19,471.273,1257,42,0,6673,1999,n
0.21,0.5,0,0,0,3,13,17,693.444,1104,35,0,6309,2000,n
0.17,0.55,2,9,0,20,17,15,92.19,1364,97,0,8030,1995,n
0.19,0.48,4,3,1,12,28,23,896.073,1982,103,0,7764,1996,n
0.16,0.52,0,6,0,13,16,12,138.889,1286,116,0,5678,2002,n
0.12,0.51,0,1,0,4,4,0,486,1248,87,0,540,2016,y
0.14,0.5,4,2,1,22,22,11,75.571,1891,27,0,7841,1996,n
0.14,0.45,5,11,2,27,64,50,69.143,1977,48,0,1254,2014,y
0.21,0.53,0,0,0,0,7,1,6.722,395,18,0,587,2016,n
0.16,0.53,0,5,2,12,6,10,12.15,1093,26,0,687,2016,n
0.1,0.51,0,7,0,8,5,11,174.05,1329,46,0,8457,1994,y
0.13,0.42,0,3,0,10,27,6,16.056,1365,26,0,2619,2010,n
0.09,0.37,0,0,0,4,23,17,373.778,1500,43,0,6448,2000,n
0.09,0.43,0,0,0,1,19,9,184.083,1453,19,0,4068,2006,n
0.25,0.51,0,0,0,0,2,0,4,279,15,0,587,2016,n
0.25,0.5,0,0,0,0,2,0,3.556,286,16,0,475,2016,n
0.22,0.48,0,0,0,0,4,0,2,334,18,0,216,2017,n
0.2,0.52,0,3,2,8,15,7,52.267,1413,121,0,2080,2012,y
0.19,0.52,4,11,2,29,9,11,47.368,1090,24,0,4250,2006,y
0.22,0.51,0,4,2,9,3,0,112,650,8,0,4234,2006,n
0.15,0.46,0,4,0,6,7,13,103.361,1195,42,0.00328,2500,2011,n
0.17,0.53,4,7,7,24,17,5,65.761,1541,115,0,13051,1982,n
0.22,0.5,2,4,4,17,2,21,211.75,1305,20,0,6742,1999,y
0.15,0.53,1,2,1,11,8,11,172.34,1328,40,0,12209,1984,n
0.15,0.52,1,0,0,4,10,5,288.3,1323,72,0,12916,1982,n
0.14,0.5,0,13,0,20,14,13,24.891,1330,69,0.014617,1394,2014,y
