@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,12-13,15,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute AuthorityMentions numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.16,0.52,14,3,0,23,3,1321,16,0,10851,1988,y
0.14,0.51,0,8,0,19,6,1055,67,0.27018,2332,2011,n
0.19,0.49,0,2,0,7,3,1219,35,0.034636,13695,1980,n
0.19,0.57,0,7,0,8,9,1233,85,0.225827,5881,2001,n
0.16,0.47,3,6,0,17,2,917,13,0.086875,11005,1987,n
0.07,0.53,0,2,0,8,7,1566,136,0.045408,7463,1997,n
0.15,0.51,2,2,7,17,5,1142,35,0.104103,6847,1999,n
0.18,0.52,0,2,1,15,25,1530,22,0.210998,2143,2012,n
0.17,0.56,5,17,2,42,16,1556,21,0.168285,1534,2013,n
0.11,0.49,2,1,0,17,14,1961,188,0.086204,7708,1996,n
0.18,0.52,1,5,0,21,3,1315,20,0.073318,13882,1979,n
0.23,0.52,1,0,0,3,4,1248,72,0.057595,5867,2001,n
0.17,0.53,0,24,5,38,0,887,17,0,11096,1987,n
0.2,0.46,0,0,1,5,7,1262,79,0,5265,2003,n
0.29,0.49,0,3,1,16,6,898,84,0,15618,1975,n
0.16,0.5,0,4,1,19,10,1753,181,0,7624,1997,n
0.2,0.48,0,14,3,23,3,1020,46,0,12414,1983,n
0.17,0.49,5,0,1,7,25,1482,83,0,13597,1980,n
0.18,0.49,1,0,0,18,5,1071,16,0,16241,1973,n
0.18,0.53,0,6,0,16,3,1038,37,0,14547,1978,n
0.13,0.45,1,8,0,18,0,1392,25,0,7792,1996,n
0.19,0.51,0,1,0,18,21,1328,106,0,11623,1986,n
0.17,0.52,0,1,0,7,0,1304,121,0,12965,1982,n
0.12,0.54,0,2,0,4,5,1596,63,0,7848,1996,n
0.22,0.5,2,12,1,27,11,1781,86,0,7120,1998,n
0.2,0.48,0,0,0,2,19,1257,42,0,6673,1999,n
0.21,0.5,0,0,0,3,17,1104,35,0,6309,2000,n
0.17,0.55,2,9,0,20,15,1364,97,0,8030,1995,n
0.19,0.48,4,3,1,12,23,1982,103,0,7764,1996,n
0.16,0.52,0,6,0,13,12,1286,116,0,5678,2002,n
0.12,0.51,0,1,0,4,0,1248,87,0,540,2016,y
0.14,0.5,4,2,1,22,11,1891,27,0,7841,1996,n
0.14,0.45,5,11,2,27,50,1977,48,0,1254,2014,y
0.21,0.53,0,0,0,0,1,395,18,0,587,2016,n
0.16,0.53,0,5,2,12,10,1093,26,0,687,2016,n
0.1,0.51,0,7,0,8,11,1329,46,0,8457,1994,y
0.13,0.42,0,3,0,10,6,1365,26,0,2619,2010,n
0.09,0.37,0,0,0,4,17,1500,43,0,6448,2000,n
0.09,0.43,0,0,0,1,9,1453,19,0,4068,2006,n
0.25,0.51,0,0,0,0,0,279,15,0,587,2016,n
0.25,0.5,0,0,0,0,0,286,16,0,475,2016,n
0.22,0.48,0,0,0,0,0,334,18,0,216,2017,n
0.2,0.52,0,3,2,8,7,1413,121,0,2080,2012,y
0.19,0.52,4,11,2,29,11,1090,24,0,4250,2006,y
0.22,0.51,0,4,2,9,0,650,8,0,4234,2006,n
0.15,0.46,0,4,0,6,13,1195,42,0.00328,2500,2011,n
0.17,0.53,4,7,7,24,5,1541,115,0,13051,1982,n
0.22,0.5,2,4,4,17,21,1305,20,0,6742,1999,y
0.15,0.53,1,2,1,11,11,1328,40,0,12209,1984,n
0.15,0.52,1,0,0,4,5,1323,72,0,12916,1982,n
0.14,0.5,0,13,0,20,13,1330,69,0.014617,1394,2014,y
0.17,0.49,1,0,0,2,2,1130,46,0,15492,1975,n
0.13,0.47,0,3,0,4,0,1463,100,0.000885,11992,1985,n
0.14,0.49,1,9,0,20,7,1773,117,0.003141,11259,1987,n
0.18,0.5,2,6,3,16,5,1505,112,0,8058,1995,n
0.17,0.5,0,6,1,14,5,1603,125,0.002529,10405,1989,n
0.15,0.52,2,10,0,21,9,1324,70,0.006335,4962,2004,n
0.18,0.49,0,4,0,8,7,1334,85,0.002051,13357,1981,n
0.14,0.51,0,3,0,6,3,1757,88,0.001449,9878,1990,n
0.17,0.47,4,10,2,29,4,1540,33,0,4530,2005,n
0.22,0.49,0,1,0,1,1,1196,160,0,3200,2009,y
0.19,0.5,0,5,1,13,7,1060,51,0,9150,1992,n
0.16,0.5,1,5,2,11,10,1034,58,0,2829,2010,n
0.18,0.52,0,1,0,1,2,1442,48,0,15261,1976,n
0.23,0.52,0,0,0,2,29,1802,116,0,12342,1984,n
0.24,0.53,1,0,0,3,11,1739,91,0.107735,13450,1981,n
0.26,0.55,1,1,0,6,5,1299,47,0,14538,1978,n
0.16,0.5,2,0,0,4,8,1385,36,0,13070,1982,n
0.16,0.52,0,0,0,1,6,800,76,0,3221,2009,n
0.25,0.58,1,8,2,23,16,1623,92,0,9332,1992,n
0.15,0.48,0,1,0,3,4,1632,26,0,10697,1988,n
0.16,0.52,0,1,1,7,19,1410,49,0,10123,1990,n
0.23,0.55,0,2,0,7,5,1462,121,0,11103,1987,n
0.12,0.56,0,1,1,8,4,1133,95,0,11705,1985,n
0.19,0.54,0,2,0,8,12,1247,64,0,10552,1989,n
0.14,0.47,0,0,0,0,7,702,29,0,216,2017,n
0.18,0.51,1,3,6,20,0,1229,44,0,869,2015,n
0.16,0.53,0,2,0,6,0,1049,153,0,5160,2003,n
0.18,0.46,1,28,3,65,7,1418,69,0,3951,2007,n
0.2,0.56,0,7,0,8,9,1232,85,0,5881,2001,n
0.22,0.49,0,0,0,1,37,988,69,0.000616,16255,1973,n
0.23,0.53,3,1,0,5,20,1096,41,0.001765,15632,1975,n
0.18,0.49,0,2,1,10,21,1766,153,0,7736,1996,n
0.17,0.48,1,8,1,21,19,1783,102,0,5869,2001,n
0.19,0.5,1,7,0,16,19,1476,94,0,6777,1999,n
0.15,0.51,1,3,0,7,33,982,35,0,13791,1980,n
0.2,0.52,7,2,0,38,3,1212,68,0,14059,1979,n
0.22,0.59,3,2,1,40,4,1086,35,0,15956,1974,n
0.16,0.53,1,0,0,3,0,529,40,0,839,2015,n
0.22,0.52,2,0,0,10,3,1048,44,0,3522,2008,n
0.16,0.44,0,7,0,11,6,1126,130,0,554,2016,n
0.18,0.49,0,3,0,6,14,1421,36,0,722,2015,n
0.16,0.51,0,1,0,1,2,901,39,0,4493,2005,n
0.19,0.5,0,1,0,5,19,1361,93,0.001715,3942,2007,y
0.18,0.56,5,6,16,40,18,1557,77,0,5015,2004,n
0.16,0.49,1,1,2,10,16,1254,88,0.004924,358,2016,n
0.19,0.54,0,0,0,3,4,1498,109,0,15277,1976,y
