@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute NT numeric
@attribute BoM numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInItalics numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Male,0.411765,0.555556,0.218951,0.361224,0.269231,0,0.033708,0.136364,0,0.163121,0.113924,0.303097,0.02459,0.003831,0.289503,0.032389,0.300505,0,0.234787,0.001769,0.181818,0.768,y
Male,0.352941,0.518519,0.180396,0.162245,0,0.131148,0.089888,0.068182,0,0.134752,0.088608,0.202864,0.04918,0.041109,0.216022,0.135628,0.051006,0.906043,0.049244,0.001208,0.545455,0.952,n
Male,0.5,0.444444,0.296402,0.479592,0,0.016393,0.022472,0.090909,0,0.049645,0.075949,0.283314,0.02459,0.151964,0.261326,0.07085,0.086719,0.116151,0.296729,0.000111,0.454545,0.704,n
Male,0.5,0.740741,0.247594,0.560204,0,0.016393,0.078652,0,0,0.056738,0.088608,0.309207,0.07377,0.055165,0.265193,0.172065,0.026541,0.757304,0.126541,0.000956,0.818182,0.872,n
Male,0.411765,0.37037,0.126203,0.321429,0.057692,0.032787,0.067416,0.090909,0,0.120567,0.063291,0.158632,0.016393,0.009571,0.177901,0.026316,0.020269,0.291332,0.238141,0.004241,0.818182,0.76,n
Male,0.147059,0.592593,0.310724,0.40102,0,0.065574,0.022472,0.204545,0,0.056738,0.088608,0.059746,0.057377,0.011663,0.357182,0.275304,0.327814,0.152275,0.160997,0.005604,0.454545,0.84,n
Male,0.382353,0.518519,0.197296,0.321429,0.038462,0.032787,0.022472,0.113636,0.4375,0.120567,0.075949,0.202458,0.040984,0.003287,0.240055,0.07085,0.140225,0.349105,0.14758,0.002637,0.181818,0.856,n
Female,0.470588,0.555556,0.312443,0.402041,0,0.04918,0.022472,0.113636,0.0625,0.106383,0.21519,0.343845,0.204918,0.068382,0.347238,0.044534,0.19231,0.707577,0.045128,0.003137,0,0.96,n
Female,0.441176,0.703704,0.274805,0.281633,0.096154,0.180328,0.191011,0.022727,0.125,0.297872,0.164557,0.281795,0.131148,0.007425,0.35442,0.04251,0.115876,0.564339,0.031864,0.002412,0.727273,0.968,n
Female,0.264706,0.444444,0.341373,0.440816,0.038462,0.147541,0.011236,0.045455,0,0.120567,0.278481,0.289804,0.114754,0.035753,0.466298,0.380567,0.379794,0.289084,0.166333,0.004423,0.818182,0.832,n
