@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R2,7,9,11-12,15,17-18,20'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WordQuantity numeric
@attribute PercentInQuotes numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Male,0.52,4278,5.61,14,3,0,2.764233,3,1321,0,322000,3,1988,y
Male,0.51,3605,3.66,0,8,0,1.867876,6,1055,0.27018,220000,7,2011,n
Male,0.49,5630,6.77,0,2,0,2.587316,3,1219,0.034636,20200,6,1980,n
Male,0.57,4778,7.56,0,7,0,2.818879,9,1233,0.225827,174000,10,2001,n
Male,0.47,2659,5.22,3,6,0,1.472315,2,917,0.086875,772000,10,1987,n
Male,0.53,5880,6,0,2,0,0.588,7,1566,0.045408,1020000,6,1997,n
Male,0.51,3900,5.22,2,2,7,1.864245,5,1142,0.104103,480000,3,1999,n
Female,0.52,5910,6.01,0,2,1,3.128639,25,1530,0.210998,571000,1,2012,n
Female,0.56,5253,4.83,5,17,2,2.573738,16,1556,0.168285,439000,9,2013,n
Female,0.49,6415,6.39,2,1,0,2.645361,14,1961,0.086204,805000,10,1996,n
Male,0.52,3819,6.01,1,5,0,2.626547,3,1315,0.073318,79600,11,1979,n
Male,0.52,4549,7.95,1,0,0,2.500825,4,1248,0.057595,643000,11,2001,n
Male,0.53,3652,4.82,0,24,5,0.3652,0,887,0,33800,7,1987,n
Female,0.46,3753,6,0,0,1,2.829372,7,1262,0,33800,7,2003,n
Male,0.49,3621,4.03,0,3,1,2.198148,6,898,0,33800,2,1975,n
Male,0.5,6450,6.78,0,4,1,3.307014,10,1753,0,514,1,1997,n
Male,0.48,4263,4.82,0,14,3,1.361893,3,1020,0,812000,12,1983,n
