@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-8,12-13,16,18'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.411765,0.555556,0.269231,0.136364,0,0.163121,0.02459,0.003831,0.032389,0,0.234787,0.001769,0.181818,0.768,y
0.352941,0.518519,0,0.068182,0,0.134752,0.04918,0.041109,0.135628,0.906043,0.049244,0.001208,0.545455,0.952,n
0.5,0.444444,0,0.090909,0,0.049645,0.02459,0.151964,0.07085,0.116151,0.296729,0.000111,0.454545,0.704,n
0.5,0.740741,0,0,0,0.056738,0.07377,0.055165,0.172065,0.757304,0.126541,0.000956,0.818182,0.872,n
0.411765,0.37037,0.057692,0.090909,0,0.120567,0.016393,0.009571,0.026316,0.291332,0.238141,0.004241,0.818182,0.76,n
0.147059,0.592593,0,0.204545,0,0.056738,0.057377,0.011663,0.275304,0.152275,0.160997,0.005604,0.454545,0.84,n
0.382353,0.518519,0.038462,0.113636,0.4375,0.120567,0.040984,0.003287,0.07085,0.349105,0.14758,0.002637,0.181818,0.856,n
0.470588,0.555556,0,0.113636,0.0625,0.106383,0.204918,0.068382,0.044534,0.707577,0.045128,0.003137,0,0.96,n
0.441176,0.703704,0.096154,0.022727,0.125,0.297872,0.131148,0.007425,0.04251,0.564339,0.031864,0.002412,0.727273,0.968,n
0.264706,0.444444,0.038462,0.045455,0,0.120567,0.114754,0.035753,0.380567,0.289084,0.166333,0.004423,0.818182,0.832,n
0.470588,0.555556,0.019231,0.068182,0,0.148936,0.02459,0.689743,0.040486,0.245869,0.300801,0.000437,0.909091,0.696,n
0.617647,0.555556,0.019231,0.204545,0,0.021277,0.032787,0.016353,0.145749,0.193144,0.126236,0.003533,0.909091,0.872,n
0.441176,0.592593,0,0.090909,0.3125,0.269504,0,0.1173,0.034413,0,0.240123,0.000185,0.545455,0.76,n
0.529412,0.333333,0,0,0.0625,0.035461,0.057377,0.020438,0.159919,0,0.113125,0.000185,0.545455,0.888,n
0.794118,0.444444,0,0.204545,0.0625,0.113475,0.04918,0.00474,0.17004,0,0.338611,0.000185,0.090909,0.664,n
0.411765,0.481481,0,0.295455,0.0625,0.134752,0.081967,0.018589,0.366397,0,0.164503,0.000002,0,0.84,n
0.529412,0.407407,0,0.136364,0.1875,0.163121,0.02459,0.020205,0.093117,0,0.268829,0.004461,1,0.728,n
