@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,3,5,7-15,17-23'

@attribute Polarity numeric
@attribute WordCount numeric
@attribute OT numeric
@attribute WordQuantity numeric
@attribute PopularByAbsolute {y,n}

@data
0.16,4278,14,1321,y
0.14,3605,0,1055,n
0.19,5630,0,1219,n
0.19,4778,0,1233,n
0.16,2659,3,917,n
0.07,5880,0,1566,n
0.15,3900,2,1142,n
0.18,5910,0,1530,n
0.17,5253,5,1556,n
0.11,6415,2,1961,n
0.18,3819,1,1315,n
0.23,4549,1,1248,n
0.17,3652,0,887,n
0.2,3753,0,1262,n
0.29,3621,0,898,n
0.16,6450,0,1753,n
0.2,4263,0,1020,n
0.17,6004,5,1482,n
0.18,3737,1,1071,n
0.18,3143,0,1038,n
0.13,4666,1,1392,n
0.19,5530,0,1328,n
0.17,4606,0,1304,n
0.12,5089,0,1596,n
0.22,6583,2,1781,n
0.2,3922,0,1257,n
0.21,3909,0,1104,n
0.17,5408,2,1364,n
0.19,8672,4,1982,n
0.16,4167,0,1286,n
0.12,3844,0,1248,y
0.14,5742,4,1891,n
0.14,7793,5,1977,y
0.21,818,0,395,n
0.16,3418,0,1093,n
0.1,4186,0,1329,y
0.13,3451,0,1365,n
0.09,5124,0,1500,n
0.09,4479,0,1453,n
0.25,565,0,279,n
0.25,581,0,286,n
0.22,700,0,334,n
0.2,4819,0,1413,y
0.19,3774,4,1090,y
0.22,1466,0,650,n
0.15,3659,0,1195,n
0.17,5892,4,1541,n
0.22,5196,2,1305,y
0.15,4696,1,1328,n
0.15,4052,1,1323,n
0.14,3968,0,1330,y
0.17,3609,1,1130,n
0.13,4520,0,1463,n
0.14,6367,1,1773,n
0.18,5611,2,1505,n
0.17,5536,0,1603,n
0.15,4262,2,1324,n
0.18,4876,0,1334,n
0.14,5522,0,1757,n
0.17,3764,4,1540,n
0.22,5683,0,1196,y
0.19,3455,0,1060,n
0.16,3407,1,1034,n
0.18,4748,0,1442,n
0.23,6383,0,1802,n
0.24,6516,1,1739,n
0.26,5054,1,1299,n
0.16,4437,2,1385,n
0.16,2314,0,800,n
0.25,6458,1,1623,n
0.15,4726,0,1632,n
0.16,4296,0,1410,n
0.23,5074,0,1462,n
0.12,3624,0,1133,n
0.19,3507,0,1247,n
0.14,1629,0,702,n
0.18,4047,1,1229,n
0.16,3618,0,1049,n
0.18,5396,1,1418,n
0.2,4760,0,1232,n
0.22,3247,0,988,n
0.23,3400,3,1096,n
0.18,6825,0,1766,n
0.17,6568,1,1783,n
0.19,4890,1,1476,n
0.15,3619,1,982,n
0.2,6122,7,1212,n
0.22,5042,3,1086,n
0.16,1109,1,529,n
0.22,3317,2,1048,n
0.16,4482,0,1126,n
0.18,4122,0,1421,n
0.16,2143,0,901,n
0.19,4665,0,1361,y
0.18,6094,5,1557,n
0.16,4265,1,1254,n
0.19,5916,0,1498,y
0.12,4270,0,1090,n
0.13,4262,1,1312,n
0.15,5235,1,1300,n
0.15,5740,1,1404,y
0.17,3432,0,1008,y
0.14,4664,0,1300,y
0.13,2569,5,859,n
0.13,5283,0,1515,n
0.09,6217,2,1447,y
0.1,4956,1,1558,n
0.12,4356,2,1224,n
0.17,4609,0,1553,n
0.19,3732,0,1158,n
0.14,3590,0,1047,y
0.12,2284,4,831,n
0.14,6591,1,1835,n
0.19,5402,1,1558,y
0.23,4165,0,1105,n
0.08,7188,1,1954,y
0.21,9445,1,2014,y
0.19,5402,1,1558,n
0.13,537,0,287,n
0.15,7848,0,2025,n
0.15,5921,0,1853,n
0.13,6363,0,1871,n
0.19,5997,2,1983,n
0.12,6532,2,1932,n
0.14,4807,1,1456,n
0.13,10442,2,2546,y
0.16,5447,1,1559,y
0.15,4024,0,1460,n
0.12,3365,0,1227,n
0.26,1017,0,470,n
0.15,1072,0,522,n
0.15,4956,6,1423,y
0.16,4905,0,1582,n
0.14,4604,0,1574,n
0.17,6673,0,1918,n
0.17,4897,1,1564,y
0.13,5989,0,1827,n
0.14,5746,4,1805,y
0.17,6720,1,1724,y
0.13,7229,1,1953,n
0.17,7323,0,2078,n
0.12,4591,0,1520,n
0.15,3226,8,1079,n
0.18,3447,0,1098,y
0.27,7043,4,1629,n
0.22,5519,0,1331,n
0.18,3768,0,1341,n
0.26,1345,0,552,n
0.18,1198,0,507,n
0.18,4318,0,1003,y
0.2,4712,1,1043,y
0.27,5492,1,1088,n
0.2,4405,1,995,n
0.14,5439,1,1198,y
0.14,5145,1,1145,y
0.19,5624,0,1221,y
0.27,3614,4,887,n
0.16,4233,1,1002,n
0.15,4582,5,1221,n
0.21,4575,0,1179,y
0.16,3916,0,924,y
0.18,4161,0,1270,n
0.17,3240,0,1051,n
0.19,4625,0,1494,n
