@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,12-13,15,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute AuthorityMentions numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.411765,0.555556,0.269231,0.033708,0,0.163121,0.02459,0.289503,0.032389,0,0.234787,0.768,y
0.352941,0.518519,0,0.089888,0,0.134752,0.04918,0.216022,0.135628,0.906043,0.049244,0.952,n
0.5,0.444444,0,0.022472,0,0.049645,0.02459,0.261326,0.07085,0.116151,0.296729,0.704,n
0.5,0.740741,0,0.078652,0,0.056738,0.07377,0.265193,0.172065,0.757304,0.126541,0.872,n
0.411765,0.37037,0.057692,0.067416,0,0.120567,0.016393,0.177901,0.026316,0.291332,0.238141,0.76,n
0.147059,0.592593,0,0.022472,0,0.056738,0.057377,0.357182,0.275304,0.152275,0.160997,0.84,n
0.382353,0.518519,0.038462,0.022472,0.4375,0.120567,0.040984,0.240055,0.07085,0.349105,0.14758,0.856,n
0.470588,0.555556,0,0.022472,0.0625,0.106383,0.204918,0.347238,0.044534,0.707577,0.045128,0.96,n
0.441176,0.703704,0.096154,0.191011,0.125,0.297872,0.131148,0.35442,0.04251,0.564339,0.031864,0.968,n
0.264706,0.444444,0.038462,0.011236,0,0.120567,0.114754,0.466298,0.380567,0.289084,0.166333,0.832,n
0.470588,0.555556,0.019231,0.05618,0,0.148936,0.02459,0.287845,0.040486,0.245869,0.300801,0.696,n
0.617647,0.555556,0.019231,0,0,0.021277,0.032787,0.269337,0.145749,0.193144,0.126236,0.872,n
0.441176,0.592593,0,0.269663,0.3125,0.269504,0,0.169613,0.034413,0,0.240123,0.76,n
0.529412,0.333333,0,0,0.0625,0.035461,0.057377,0.273204,0.159919,0,0.113125,0.888,n
0.794118,0.444444,0,0.033708,0.0625,0.113475,0.04918,0.172652,0.17004,0,0.338611,0.664,n
0.411765,0.481481,0,0.044944,0.0625,0.134752,0.081967,0.40884,0.366397,0,0.164503,0.84,n
0.529412,0.407407,0,0.157303,0.1875,0.163121,0.02459,0.206354,0.093117,0,0.268829,0.728,n
0.441176,0.444444,0.096154,0,0.0625,0.049645,0.204918,0.333978,0.168016,0,0.294594,0.704,n
0.470588,0.444444,0.019231,0,0,0.12766,0.040984,0.220442,0.032389,0,0.35218,0.648,n
0.470588,0.592593,0,0.067416,0,0.113475,0.02459,0.211326,0.074899,0,0.315285,0.688,n
0.323529,0.296296,0.019231,0.089888,0,0.12766,0,0.309116,0.050607,0,0.168162,0.832,n
0.5,0.518519,0,0.011236,0,0.12766,0.172131,0.291436,0.214575,0,0.251601,0.752,n
0.441176,0.555556,0,0.011236,0,0.049645,0,0.284807,0.244939,0,0.280829,0.72,n
0.294118,0.62963,0,0.022472,0,0.028369,0.040984,0.36547,0.12753,0,0.169382,0.832,n
0.588235,0.481481,0.038462,0.134831,0.0625,0.191489,0.090164,0.416575,0.174089,0,0.153526,0.848,n
0.529412,0.407407,0,0,0,0.014184,0.155738,0.271823,0.08502,0,0.143791,0.856,n
0.558824,0.481481,0,0,0,0.021277,0.139344,0.229558,0.07085,0,0.135863,0.864,n
0.441176,0.666667,0.038462,0.101124,0,0.141844,0.122951,0.301381,0.196356,0,0.173346,0.824,n
0.5,0.407407,0.076923,0.033708,0.0625,0.085106,0.188525,0.472099,0.208502,0,0.167552,0.832,n
0.411765,0.555556,0,0.067416,0,0.092199,0.098361,0.279834,0.234818,0,0.12212,0.88,n
0.294118,0.518519,0,0.011236,0,0.028369,0,0.269337,0.176113,0,0.010215,0.992,y
0.352941,0.481481,0.076923,0.022472,0.0625,0.156028,0.090164,0.446961,0.054656,0,0.169229,0.832,n
0.352941,0.296296,0.096154,0.123596,0.125,0.191489,0.409836,0.470718,0.097166,0,0.025766,0.976,y
0.558824,0.592593,0,0,0,0,0.008197,0.033702,0.036437,0,0.011238,0.992,n
0.411765,0.592593,0,0.05618,0.125,0.085106,0.081967,0.226519,0.052632,0,0.013416,0.992,n
0.235294,0.518519,0,0.078652,0,0.056738,0.090164,0.291713,0.093117,0,0.182646,0.816,y
0.323529,0.185185,0,0.033708,0,0.070922,0.04918,0.301657,0.052632,0,0.055495,0.944,n
0.205882,0,0,0,0,0.028369,0.139344,0.33895,0.087045,0,0.13889,0.864,n
0.205882,0.222222,0,0,0,0.007092,0.07377,0.325967,0.038462,0,0.087054,0.912,n
0.676471,0.518519,0,0,0,0,0,0.001657,0.030364,0,0.011238,0.992,n
0.676471,0.481481,0,0,0,0,0,0.003591,0.032389,0,0.008799,0.992,n
0.588235,0.407407,0,0,0,0,0,0.016851,0.036437,0,0.003158,1,n
0.529412,0.555556,0,0.033708,0.125,0.056738,0.057377,0.314917,0.244939,0,0.043756,0.96,y
